id,timestamp,game_time,emotion,model_confidence,match,turn,motivated,condition
1,"04/22/2025, 22:01:42",0:8,happy,0.8881720430107527,True,2,yes,E-ToM
1,"04/22/2025, 22:01:57",0:23,neutral,-0.06666666666666667,True,4,no,E-ToM
1,"04/22/2025, 22:02:06",0:33,happy,0.21505376344086022,True,6,yes,E-ToM
1,"04/22/2025, 22:02:19",0:46,neutral,0.08817204301075265,True,8,yes,E-ToM
1,"04/22/2025, 22:02:38",1:5,happy,0.20645161290322583,True,10,yes,E-ToM
1,"04/22/2025, 22:02:49",1:15,neutral,-0.29677419354838713,True,12,no,E-ToM
1,"04/22/2025, 22:03:00",1:26,neutral,-0.25806451612903225,True,14,yes,E-ToM
1,"04/22/2025, 22:03:10",1:37,neutral,-0.015053763440860193,True,16,yes,E-ToM
1,"04/22/2025, 22:03:22",1:48,neutral,-0.4086021505376344,True,18,yes,E-ToM
1,"04/22/2025, 22:03:34",2:0,neutral,-1.0,True,20,yes,E-ToM
1,"04/22/2025, 22:03:45",2:11,neutral,-0.5634408602150538,True,22,yes,E-ToM
